JD,WD,value
116.2979565,35.41008808,2
116.7670156,30.60366922,3
119.268782,35.29195705,2
118.9893251,35.40548657,3
119.2860155,35.13672208,1
119.1934703,35.17300822,3
119.3599022,35.10417597,3
119.4686243,35.431049,1
119.4586262,35.43829808,7
119.5540672,35.3961023,3
119.3866344,35.28446157,1
119.5301142,35.46771125,1
119.3012309,35.39150145,1
119.5170405,35.53091754,1
117.2007828,34.24453607,7
106.9507598,27.70800021,3
115.6115866,38.62736949,3
118.7800798,35.59681379,2
116.2005516,37.43284291,3
120.3880917,36.30814232,4
118.895378,35.87753653,1
115.6151801,38.90127817,4
106.3741305,31.87138456,1
118.8150764,35.8120243,1
112.9563338,34.92070114,2
118.8435382,35.58587212,3
113.8643611,36.13099864,1
118.9067767,35.58440415,1
117.1689372,28.2246819,1
118.931584,35.46998243,1
115.4590891,38.53731644,3
118.9460049,35.65733871,1
118.9799089,35.92304007,2
119.2155804,35.7556971,1
119.2163458,35.74590734,6
119.4610803,35.68345171,1
119.3964308,35.50585644,2
