JD,WD,value
119.268782,35.29195705,1
119.4586262,35.43829808,1
119.5301142,35.46771125,1
118.6240406,33.84566739,1
117.2007828,34.24453607,1
120.3880917,36.30814232,1
112.9563338,34.92070114,1
118.8011232,35.52220152,1
118.931584,35.46998243,1
118.9721459,35.9918261,1
119.2155804,35.7556971,9
119.2163458,35.74590734,6
118.9996978,35.80907805,3
119.2749927,35.61298018,5
119.3319313,35.86638699,2
119.4246591,35.73670114,1
119.1461076,35.65612567,2
119.1056767,35.91554883,1
119.1292477,35.78829172,4
111.9018348,22.4752086,1
