JD,WD,value
119.2860155,35.13672208,1
119.339158,35.17647178,1
105.9712604,35.34351848,1
119.5540672,35.3961023,2
106.9507598,27.70800021,4
115.6115866,38.62736949,2
118.7800798,35.59681379,10
116.2005516,37.43284291,7
120.3880917,36.30814232,73
115.6151801,38.90127817,1
106.3741305,31.87138456,1
108.4963313,30.77400589,2
118.8435382,35.58587212,5
118.8011232,35.52220152,7
113.8643611,36.13099864,13
117.1689372,28.2246819,1
118.931584,35.46998243,7
115.4590891,38.53731644,5
118.9460049,35.65733871,4
119.2749927,35.61298018,2
