JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,1
119.268782,35.29195705,2
119.339158,35.17647178,1
119.1934703,35.17300822,1
119.4686243,35.431049,2
119.4586262,35.43829808,1
119.5540672,35.3961023,1
118.6240406,33.84566739,1
117.2007828,34.24453607,1
106.9507598,27.70800021,2
115.6115866,38.62736949,1
120.3880917,36.30814232,1
118.895378,35.87753653,1
118.8435382,35.58587212,1
118.9067767,35.58440415,2
118.9721459,35.9918261,1
119.2155804,35.7556971,3
119.2163458,35.74590734,2
118.9996978,35.80907805,1
119.2749927,35.61298018,2
