JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,1
116.7670156,30.60366922,1
119.268782,35.29195705,2
118.9893251,35.40548657,2
119.2860155,35.13672208,1
106.7371863,30.28648256,2
119.339158,35.17647178,3
105.9712604,35.34351848,2
119.4586262,35.43829808,6
119.5540672,35.3961023,2
119.3866344,35.28446157,3
112.1380499,29.10446695,2
119.5301142,35.46771125,4
119.3012309,35.39150145,1
117.2007828,34.24453607,1
106.9507598,27.70800021,10
115.6115866,38.62736949,4
118.7800798,35.59681379,3
116.2005516,37.43284291,3
120.3880917,36.30814232,5
118.895378,35.87753653,6
115.6151801,38.90127817,10
106.3741305,31.87138456,4
108.4963313,30.77400589,1
112.9563338,34.92070114,6
118.8435382,35.58587212,6
118.8011232,35.52220152,6
113.8643611,36.13099864,2
118.9067767,35.58440415,4
117.1689372,28.2246819,1
118.931584,35.46998243,1
115.4590891,38.53731644,2
118.9460049,35.65733871,2
118.9721459,35.9918261,1
118.9799089,35.92304007,1
119.2155804,35.7556971,4
119.2163458,35.74590734,8
118.9996978,35.80907805,1
119.4610803,35.68345171,1
119.3319313,35.86638699,4
119.1461076,35.65612567,1
119.1292477,35.78829172,1
