JD,WD,value
116.2979565,35.41008808,3
119.5734467,35.57720323,3
116.7670156,30.60366922,5
119.268782,35.29195705,9
118.9893251,35.40548657,1
119.2860155,35.13672208,2
106.7371863,30.28648256,4
119.339158,35.17647178,3
119.1934703,35.17300822,9
119.3599022,35.10417597,3
105.9712604,35.34351848,1
119.4686243,35.431049,10
119.4586262,35.43829808,7
119.5540672,35.3961023,3
119.3866344,35.28446157,1
112.1380499,29.10446695,2
119.5301142,35.46771125,10
119.3012309,35.39150145,5
119.5170405,35.53091754,1
118.6240406,33.84566739,4
117.2007828,34.24453607,3
106.9507598,27.70800021,4
118.895378,35.87753653,1
115.6151801,38.90127817,1
118.8150764,35.8120243,1
108.4963313,30.77400589,1
118.8435382,35.58587212,1
118.8011232,35.52220152,2
118.9721459,35.9918261,1
119.2155804,35.7556971,3
119.2163458,35.74590734,4
119.2749927,35.61298018,1
119.4610803,35.68345171,1
