JD,WD,value
116.2979565,35.41008808,2
116.7670156,30.60366922,1
119.268782,35.29195705,2
118.9893251,35.40548657,2
119.339158,35.17647178,1
119.3599022,35.10417597,1
105.9712604,35.34351848,2
119.4686243,35.431049,2
119.3866344,35.28446157,2
119.3012309,35.39150145,3
118.6240406,33.84566739,1
119.2738349,35.51464975,3
106.9507598,27.70800021,5
115.6115866,38.62736949,3
118.7800798,35.59681379,2
116.2005516,37.43284291,1
120.3880917,36.30814232,1
118.895378,35.87753653,2
118.8435382,35.58587212,1
115.4590891,38.53731644,1
118.9460049,35.65733871,2
119.2155804,35.7556971,1
118.9996978,35.80907805,1
119.2749927,35.61298018,2
