JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,1
116.7670156,30.60366922,6
119.268782,35.29195705,1
118.9893251,35.40548657,4
119.2860155,35.13672208,1
106.7371863,30.28648256,3
119.339158,35.17647178,3
119.1934703,35.17300822,1
119.3599022,35.10417597,3
105.9712604,35.34351848,14
119.4686243,35.431049,8
119.4586262,35.43829808,9
119.5540672,35.3961023,3
119.3866344,35.28446157,6
112.1380499,29.10446695,1
119.5301142,35.46771125,5
119.3012309,35.39150145,9
119.5170405,35.53091754,2
118.6240406,33.84566739,13
119.2738349,35.51464975,1
117.2007828,34.24453607,5
106.9507598,27.70800021,6
115.6115866,38.62736949,8
118.7800798,35.59681379,1
116.2005516,37.43284291,10
120.3880917,36.30814232,14
118.895378,35.87753653,3
115.6151801,38.90127817,18
118.8150764,35.8120243,1
108.4963313,30.77400589,8
112.9563338,34.92070114,4
118.8435382,35.58587212,20
118.8011232,35.52220152,2
113.8643611,36.13099864,8
118.9067767,35.58440415,2
117.1689372,28.2246819,1
118.931584,35.46998243,1
115.4590891,38.53731644,2
118.9460049,35.65733871,1
118.7692124,35.77904003,18
119.2155804,35.7556971,9
119.2163458,35.74590734,14
118.9996978,35.80907805,8
119.2749927,35.61298018,6
119.4610803,35.68345171,2
119.3319313,35.86638699,6
119.4246591,35.73670114,1
119.1461076,35.65612567,1
119.1292477,35.78829172,3
