JD,WD,value
119.339158,35.17647178,1
119.1934703,35.17300822,1
105.9712604,35.34351848,1
119.3599022,35.10417597,1
119.3866344,35.28446157,2
112.1380499,29.10446695,1
119.5301142,35.46771125,1
119.5170405,35.53091754,1
118.6240406,33.84566739,1
117.2007828,34.24453607,1
118.7800798,35.59681379,3
116.2005516,37.43284291,2
118.895378,35.87753653,1
115.6151801,38.90127817,2
118.8435382,35.58587212,2
118.8011232,35.52220152,3
118.931584,35.46998243,1
118.9721459,35.9918261,1
119.2163458,35.74590734,1
