JD,WD,value
116.7670156,30.60366922,2
118.9893251,35.40548657,3
119.2860155,35.13672208,1
105.9712604,35.34351848,5
119.4686243,35.431049,2
119.4586262,35.43829808,1
119.5301142,35.46771125,1
119.3012309,35.39150145,1
119.5170405,35.53091754,1
118.6240406,33.84566739,2
119.2738349,35.51464975,1
115.6115866,38.62736949,14
118.7800798,35.59681379,5
116.2005516,37.43284291,6
120.3880917,36.30814232,23
118.895378,35.87753653,2
115.6151801,38.90127817,23
106.3741305,31.87138456,5
118.8150764,35.8120243,1
108.4963313,30.77400589,3
112.9563338,34.92070114,2
118.8435382,35.58587212,41
118.8011232,35.52220152,57
113.8643611,36.13099864,22
118.9067767,35.58440415,11
118.931584,35.46998243,10
115.4590891,38.53731644,8
118.9460049,35.65733871,2
118.7692124,35.77904003,4
119.2155804,35.7556971,7
119.2163458,35.74590734,2
118.9996978,35.80907805,1
119.2749927,35.61298018,6
119.4610803,35.68345171,1
119.3964308,35.50585644,1
119.1292477,35.78829172,1
