JD,WD,value
119.268782,35.29195705,1
118.9893251,35.40548657,1
106.7371863,30.28648256,1
119.4686243,35.431049,1
119.4586262,35.43829808,1
119.5540672,35.3961023,2
119.3866344,35.28446157,1
112.1380499,29.10446695,1
119.5301142,35.46771125,1
118.6240406,33.84566739,1
119.2738349,35.51464975,1
106.9507598,27.70800021,1
118.7800798,35.59681379,1
116.2005516,37.43284291,5
120.3880917,36.30814232,4
118.895378,35.87753653,2
115.6151801,38.90127817,6
112.9563338,34.92070114,1
118.8435382,35.58587212,5
118.9067767,35.58440415,4
117.1689372,28.2246819,2
115.4590891,38.53731644,1
118.9721459,35.9918261,1
118.7692124,35.77904003,1
119.2155804,35.7556971,4
119.2163458,35.74590734,1
118.9996978,35.80907805,1
119.2749927,35.61298018,1
119.4610803,35.68345171,1
119.3319313,35.86638699,2
119.1461076,35.65612567,1
119.1056767,35.91554883,2
