JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,2
119.268782,35.29195705,1
118.9893251,35.40548657,1
119.2860155,35.13672208,3
106.7371863,30.28648256,1
119.339158,35.17647178,3
119.1934703,35.17300822,1
119.3599022,35.10417597,4
105.9712604,35.34351848,2
119.4586262,35.43829808,2
119.5540672,35.3961023,3
119.3866344,35.28446157,1
112.1380499,29.10446695,1
119.5301142,35.46771125,2
118.6240406,33.84566739,1
119.2738349,35.51464975,1
117.2007828,34.24453607,1
106.9507598,27.70800021,1
115.6115866,38.62736949,1
118.7800798,35.59681379,1
116.2005516,37.43284291,1
120.3880917,36.30814232,4
115.6151801,38.90127817,2
108.4963313,30.77400589,1
112.9563338,34.92070114,1
118.8435382,35.58587212,2
118.8011232,35.52220152,2
113.8643611,36.13099864,1
118.9067767,35.58440415,1
118.931584,35.46998243,1
118.9460049,35.65733871,2
119.2155804,35.7556971,1
119.2163458,35.74590734,2
118.9996978,35.80907805,1
119.2749927,35.61298018,2
119.4610803,35.68345171,1
119.3319313,35.86638699,1
119.1461076,35.65612567,2
