JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,5
116.7670156,30.60366922,5
119.268782,35.29195705,13
119.2860155,35.13672208,2
106.7371863,30.28648256,10
119.339158,35.17647178,6
119.1934703,35.17300822,6
119.3599022,35.10417597,9
105.9712604,35.34351848,3
119.4686243,35.431049,12
119.4586262,35.43829808,11
119.5540672,35.3961023,4
119.3866344,35.28446157,9
112.1380499,29.10446695,2
119.5301142,35.46771125,18
119.3012309,35.39150145,7
119.5170405,35.53091754,6
118.6240406,33.84566739,3
119.2738349,35.51464975,5
117.2007828,34.24453607,6
106.9507598,27.70800021,15
115.6115866,38.62736949,1
118.7800798,35.59681379,1
116.2005516,37.43284291,1
118.895378,35.87753653,1
115.6151801,38.90127817,1
106.3741305,31.87138456,1
118.8150764,35.8120243,3
112.9563338,34.92070114,1
118.8435382,35.58587212,8
113.8643611,36.13099864,1
118.9067767,35.58440415,1
117.1689372,28.2246819,1
118.931584,35.46998243,1
118.9799089,35.92304007,2
119.2155804,35.7556971,4
119.2163458,35.74590734,3
118.9996978,35.80907805,6
119.2749927,35.61298018,3
119.4610803,35.68345171,3
119.3319313,35.86638699,6
119.1461076,35.65612567,2
119.1292477,35.78829172,2
111.9018348,22.4752086,1
