JD,WD,value
116.2979565,35.41008808,3
119.5734467,35.57720323,5
116.7670156,30.60366922,11
119.268782,35.29195705,12
118.9893251,35.40548657,7
119.2860155,35.13672208,19
106.7371863,30.28648256,13
119.339158,35.17647178,8
119.1934703,35.17300822,10
119.3599022,35.10417597,13
105.9712604,35.34351848,13
119.4686243,35.431049,13
119.4586262,35.43829808,20
119.5540672,35.3961023,9
119.3866344,35.28446157,20
112.1380499,29.10446695,6
119.5301142,35.46771125,32
119.3012309,35.39150145,4
119.5170405,35.53091754,3
118.6240406,33.84566739,7
119.2738349,35.51464975,1
117.2007828,34.24453607,9
106.9507598,27.70800021,11
115.6115866,38.62736949,2
116.2005516,37.43284291,1
120.3880917,36.30814232,3
115.6151801,38.90127817,3
106.3741305,31.87138456,2
108.4963313,30.77400589,1
118.8435382,35.58587212,9
115.4590891,38.53731644,1
118.9799089,35.92304007,1
119.2155804,35.7556971,32
119.2163458,35.74590734,24
118.9996978,35.80907805,8
119.2749927,35.61298018,16
119.4610803,35.68345171,9
119.3319313,35.86638699,14
119.1461076,35.65612567,1
119.1056767,35.91554883,3
119.1292477,35.78829172,6
111.9018348,22.4752086,2
