JD,WD,value
116.2979565,35.41008808,9
119.5734467,35.57720323,7
116.7670156,30.60366922,4
119.268782,35.29195705,13
118.9893251,35.40548657,3
119.2860155,35.13672208,3
106.7371863,30.28648256,7
119.339158,35.17647178,10
119.1934703,35.17300822,12
119.3599022,35.10417597,7
105.9712604,35.34351848,11
119.4686243,35.431049,5
119.4586262,35.43829808,17
119.5540672,35.3961023,12
119.3866344,35.28446157,7
112.1380499,29.10446695,1
119.5301142,35.46771125,10
119.3012309,35.39150145,11
119.5170405,35.53091754,4
118.6240406,33.84566739,3
119.2738349,35.51464975,1
117.2007828,34.24453607,3
106.9507598,27.70800021,8
115.6115866,38.62736949,1
118.7800798,35.59681379,2
116.2005516,37.43284291,2
120.3880917,36.30814232,6
118.895378,35.87753653,5
115.6151801,38.90127817,7
106.3741305,31.87138456,6
118.8150764,35.8120243,2
108.4963313,30.77400589,2
112.9563338,34.92070114,5
118.8435382,35.58587212,22
118.8011232,35.52220152,2
113.8643611,36.13099864,1
118.9067767,35.58440415,6
117.1689372,28.2246819,3
118.931584,35.46998243,1
115.4590891,38.53731644,2
118.9721459,35.9918261,2
118.9799089,35.92304007,1
118.7692124,35.77904003,1
119.2155804,35.7556971,21
119.2163458,35.74590734,8
118.9996978,35.80907805,3
119.2749927,35.61298018,2
119.4610803,35.68345171,1
119.3319313,35.86638699,5
111.9018348,22.4752086,2
