JD,WD,value
116.2979565,35.41008808,25
119.5734467,35.57720323,26
116.7670156,30.60366922,41
119.268782,35.29195705,54
118.9893251,35.40548657,36
119.2860155,35.13672208,24
106.7371863,30.28648256,27
119.339158,35.17647178,46
119.1934703,35.17300822,24
119.3599022,35.10417597,37
105.9712604,35.34351848,52
119.4686243,35.431049,28
119.4586262,35.43829808,58
119.5540672,35.3961023,9
119.3866344,35.28446157,54
112.1380499,29.10446695,23
119.5301142,35.46771125,33
119.3012309,35.39150145,37
119.5170405,35.53091754,14
118.6240406,33.84566739,55
119.2738349,35.51464975,23
117.2007828,34.24453607,43
106.9507598,27.70800021,24
114.996337,35.80496388,1
115.6115866,38.62736949,18
118.7800798,35.59681379,17
116.2005516,37.43284291,20
120.3880917,36.30814232,47
118.895378,35.87753653,19
115.6151801,38.90127817,22
106.3741305,31.87138456,11
118.8150764,35.8120243,8
108.4963313,30.77400589,8
112.9563338,34.92070114,35
118.8435382,35.58587212,53
118.8011232,35.52220152,36
113.8643611,36.13099864,15
118.9067767,35.58440415,25
117.1689372,28.2246819,15
118.931584,35.46998243,10
115.4590891,38.53731644,17
118.9460049,35.65733871,30
118.9721459,35.9918261,12
118.9799089,35.92304007,7
118.7692124,35.77904003,5
119.2155804,35.7556971,62
119.2163458,35.74590734,57
118.9996978,35.80907805,22
119.2749927,35.61298018,27
119.4610803,35.68345171,15
119.3319313,35.86638699,14
119.4246591,35.73670114,7
119.3964308,35.50585644,2
119.1461076,35.65612567,4
119.1056767,35.91554883,9
119.1292477,35.78829172,13
111.9018348,22.4752086,13
