JD,WD,value
118.9893251,35.40548657,1
106.7371863,30.28648256,1
119.1934703,35.17300822,2
119.3599022,35.10417597,1
119.5540672,35.3961023,1
119.3866344,35.28446157,1
118.6240406,33.84566739,1
118.7800798,35.59681379,2
116.2005516,37.43284291,2
120.3880917,36.30814232,6
118.895378,35.87753653,1
115.6151801,38.90127817,1
118.8150764,35.8120243,1
108.4963313,30.77400589,1
112.9563338,34.92070114,1
118.8435382,35.58587212,3
118.8011232,35.52220152,1
113.8643611,36.13099864,1
118.9067767,35.58440415,2
117.1689372,28.2246819,1
118.931584,35.46998243,1
115.4590891,38.53731644,1
118.9460049,35.65733871,2
118.7692124,35.77904003,1
119.2155804,35.7556971,1
119.2163458,35.74590734,1
119.3319313,35.86638699,1
