JD,WD,value
116.2979565,35.41008808,1
118.9893251,35.40548657,5
119.2860155,35.13672208,1
106.7371863,30.28648256,1
119.339158,35.17647178,1
119.3599022,35.10417597,1
119.4586262,35.43829808,1
119.3866344,35.28446157,2
118.6240406,33.84566739,1
117.2007828,34.24453607,2
118.7800798,35.59681379,3
116.2005516,37.43284291,4
120.3880917,36.30814232,5
118.895378,35.87753653,3
115.6151801,38.90127817,2
106.3741305,31.87138456,1
108.4963313,30.77400589,1
112.9563338,34.92070114,3
118.8435382,35.58587212,2
118.8011232,35.52220152,4
113.8643611,36.13099864,2
117.1689372,28.2246819,2
118.9460049,35.65733871,2
118.9799089,35.92304007,2
119.2163458,35.74590734,1
118.9996978,35.80907805,1
