JD,WD,value
119.268782,35.29195705,2
118.9893251,35.40548657,2
106.7371863,30.28648256,1
119.1934703,35.17300822,1
105.9712604,35.34351848,4
119.3866344,35.28446157,1
112.1380499,29.10446695,1
119.5301142,35.46771125,1
119.5170405,35.53091754,1
118.6240406,33.84566739,1
117.2007828,34.24453607,1
106.9507598,27.70800021,1
115.6115866,38.62736949,2
118.7800798,35.59681379,8
120.3880917,36.30814232,6
118.895378,35.87753653,5
115.6151801,38.90127817,5
106.3741305,31.87138456,10
118.8150764,35.8120243,6
108.4963313,30.77400589,6
118.8435382,35.58587212,144
118.8011232,35.52220152,8
113.8643611,36.13099864,32
118.9067767,35.58440415,2
117.1689372,28.2246819,11
118.931584,35.46998243,9
115.4590891,38.53731644,5
118.9460049,35.65733871,5
118.9721459,35.9918261,17
118.9799089,35.92304007,2
118.7692124,35.77904003,9
119.2155804,35.7556971,37
119.2163458,35.74590734,6
118.9996978,35.80907805,17
119.2749927,35.61298018,7
119.4610803,35.68345171,1
119.3319313,35.86638699,6
119.3964308,35.50585644,1
119.1056767,35.91554883,1
119.1292477,35.78829172,2
111.9018348,22.4752086,5
