JD,WD,value
116.7670156,30.60366922,6
119.268782,35.29195705,1
119.1934703,35.17300822,1
105.9712604,35.34351848,4
119.4686243,35.431049,7
119.4586262,35.43829808,2
112.1380499,29.10446695,1
119.5301142,35.46771125,1
117.2007828,34.24453607,6
115.6115866,38.62736949,2
118.7800798,35.59681379,1
116.2005516,37.43284291,1
120.3880917,36.30814232,2
118.895378,35.87753653,12
115.6151801,38.90127817,4
118.8150764,35.8120243,3
108.4963313,30.77400589,1
112.9563338,34.92070114,3
118.8435382,35.58587212,50
118.8011232,35.52220152,1
118.9067767,35.58440415,5
118.9460049,35.65733871,3
118.7692124,35.77904003,7
119.2155804,35.7556971,53
119.2163458,35.74590734,3
118.9996978,35.80907805,3
119.4610803,35.68345171,1
119.3319313,35.86638699,29
119.1461076,35.65612567,1
119.1056767,35.91554883,4
119.1292477,35.78829172,1
111.9018348,22.4752086,1
