JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,4
116.7670156,30.60366922,8
119.268782,35.29195705,16
118.9893251,35.40548657,6
119.2860155,35.13672208,2
106.7371863,30.28648256,8
119.339158,35.17647178,12
119.1934703,35.17300822,7
119.3599022,35.10417597,9
105.9712604,35.34351848,10
119.4686243,35.431049,5
119.4586262,35.43829808,4
119.5540672,35.3961023,7
119.3866344,35.28446157,14
112.1380499,29.10446695,4
119.5301142,35.46771125,14
119.3012309,35.39150145,6
119.5170405,35.53091754,6
118.6240406,33.84566739,2
119.2738349,35.51464975,3
117.2007828,34.24453607,5
106.9507598,27.70800021,8
115.6115866,38.62736949,1
118.7800798,35.59681379,2
116.2005516,37.43284291,1
120.3880917,36.30814232,3
118.895378,35.87753653,4
115.6151801,38.90127817,1
106.3741305,31.87138456,1
118.8435382,35.58587212,7
118.8011232,35.52220152,2
117.1689372,28.2246819,1
119.2155804,35.7556971,51
119.2163458,35.74590734,30
118.9996978,35.80907805,9
119.2749927,35.61298018,10
119.4610803,35.68345171,11
119.3319313,35.86638699,4
119.4246591,35.73670114,6
119.3964308,35.50585644,1
119.1461076,35.65612567,6
119.1056767,35.91554883,8
111.9018348,22.4752086,1
