JD,WD,value
116.2979565,35.41008808,4
119.5734467,35.57720323,3
116.7670156,30.60366922,3
119.268782,35.29195705,9
106.7371863,30.28648256,1
119.339158,35.17647178,3
119.1934703,35.17300822,6
105.9712604,35.34351848,2
119.3599022,35.10417597,1
119.4686243,35.431049,4
119.5540672,35.3961023,1
112.1380499,29.10446695,4
119.5301142,35.46771125,3
119.5170405,35.53091754,1
118.6240406,33.84566739,1
119.2738349,35.51464975,1
106.9507598,27.70800021,2
115.6115866,38.62736949,1
116.2005516,37.43284291,1
120.3880917,36.30814232,3
118.895378,35.87753653,1
115.6151801,38.90127817,1
108.4963313,30.77400589,1
112.9563338,34.92070114,3
118.8435382,35.58587212,36
118.8011232,35.52220152,2
117.1689372,28.2246819,2
115.4590891,38.53731644,1
118.9460049,35.65733871,3
119.2155804,35.7556971,57
119.2163458,35.74590734,14
118.9996978,35.80907805,8
119.2749927,35.61298018,7
119.4610803,35.68345171,1
119.4246591,35.73670114,1
119.1056767,35.91554883,4
119.1292477,35.78829172,4
111.9018348,22.4752086,1
