JD,WD,value
116.2979565,35.41008808,3
119.5734467,35.57720323,10
116.7670156,30.60366922,3
119.268782,35.29195705,8
118.9893251,35.40548657,11
119.2860155,35.13672208,6
106.7371863,30.28648256,2
119.339158,35.17647178,2
119.1934703,35.17300822,4
119.3599022,35.10417597,4
105.9712604,35.34351848,8
119.4686243,35.431049,10
119.4586262,35.43829808,31
119.5540672,35.3961023,9
119.3866344,35.28446157,1
119.5301142,35.46771125,14
119.3012309,35.39150145,7
118.6240406,33.84566739,8
119.2738349,35.51464975,3
117.2007828,34.24453607,5
106.9507598,27.70800021,2
115.6115866,38.62736949,6
118.7800798,35.59681379,3
116.2005516,37.43284291,7
120.3880917,36.30814232,21
118.895378,35.87753653,10
115.6151801,38.90127817,16
106.3741305,31.87138456,3
118.8150764,35.8120243,3
108.4963313,30.77400589,3
112.9563338,34.92070114,17
118.8435382,35.58587212,89
118.8011232,35.52220152,8
113.8643611,36.13099864,4
118.9067767,35.58440415,14
117.1689372,28.2246819,1
118.931584,35.46998243,4
115.4590891,38.53731644,13
118.9460049,35.65733871,7
118.9721459,35.9918261,3
118.9799089,35.92304007,4
118.7692124,35.77904003,3
119.2155804,35.7556971,9
119.2163458,35.74590734,5
118.9996978,35.80907805,4
119.2749927,35.61298018,4
119.3319313,35.86638699,3
119.1292477,35.78829172,1
111.9018348,22.4752086,2
