JD,WD,value
119.5734467,35.57720323,3
116.7670156,30.60366922,3
119.268782,35.29195705,2
118.9893251,35.40548657,5
119.2860155,35.13672208,4
106.7371863,30.28648256,5
119.339158,35.17647178,2
119.1934703,35.17300822,1
119.3599022,35.10417597,4
105.9712604,35.34351848,14
119.4686243,35.431049,9
119.4586262,35.43829808,3
119.5540672,35.3961023,1
119.3866344,35.28446157,6
112.1380499,29.10446695,1
119.5301142,35.46771125,1
119.3012309,35.39150145,2
118.6240406,33.84566739,24
119.2738349,35.51464975,2
117.2007828,34.24453607,1
106.9507598,27.70800021,2
115.6115866,38.62736949,1
118.7800798,35.59681379,2
120.3880917,36.30814232,2
118.895378,35.87753653,3
115.6151801,38.90127817,3
118.8150764,35.8120243,5
108.4963313,30.77400589,1
118.8435382,35.58587212,23
118.8011232,35.52220152,2
118.9067767,35.58440415,2
118.9799089,35.92304007,3
119.2155804,35.7556971,38
119.2163458,35.74590734,13
118.9996978,35.80907805,2
119.2749927,35.61298018,3
119.3319313,35.86638699,1
119.4246591,35.73670114,1
119.1461076,35.65612567,4
119.1056767,35.91554883,1
119.1292477,35.78829172,3
