JD,WD,value
116.2979565,35.41008808,2
116.7670156,30.60366922,13
119.268782,35.29195705,12
118.9893251,35.40548657,4
119.2860155,35.13672208,1
106.7371863,30.28648256,5
119.339158,35.17647178,12
119.1934703,35.17300822,1
119.3599022,35.10417597,2
105.9712604,35.34351848,3
119.4686243,35.431049,4
119.4586262,35.43829808,7
119.5540672,35.3961023,2
119.3866344,35.28446157,12
112.1380499,29.10446695,2
119.5301142,35.46771125,6
119.3012309,35.39150145,9
119.5170405,35.53091754,4
118.6240406,33.84566739,5
117.2007828,34.24453607,2
106.9507598,27.70800021,7
118.7800798,35.59681379,1
116.2005516,37.43284291,1
118.9460049,35.65733871,1
118.9799089,35.92304007,1
119.2155804,35.7556971,3
119.2163458,35.74590734,2
119.2749927,35.61298018,2
119.3319313,35.86638699,2
119.3964308,35.50585644,2
119.1461076,35.65612567,4
