JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,11
116.7670156,30.60366922,24
119.268782,35.29195705,12
119.2860155,35.13672208,1
106.7371863,30.28648256,5
119.339158,35.17647178,2
119.1934703,35.17300822,7
119.3599022,35.10417597,6
105.9712604,35.34351848,17
119.4686243,35.431049,16
119.4586262,35.43829808,23
119.5540672,35.3961023,3
119.3866344,35.28446157,7
112.1380499,29.10446695,4
119.5301142,35.46771125,12
119.3012309,35.39150145,7
119.5170405,35.53091754,8
118.6240406,33.84566739,12
119.2738349,35.51464975,5
117.2007828,34.24453607,9
106.9507598,27.70800021,13
115.6115866,38.62736949,6
116.2005516,37.43284291,2
120.3880917,36.30814232,3
118.895378,35.87753653,10
115.6151801,38.90127817,3
106.3741305,31.87138456,3
108.4963313,30.77400589,4
112.9563338,34.92070114,2
118.8435382,35.58587212,29
118.8011232,35.52220152,6
113.8643611,36.13099864,6
118.9067767,35.58440415,1
117.1689372,28.2246819,1
118.931584,35.46998243,2
115.4590891,38.53731644,2
118.9460049,35.65733871,5
118.9721459,35.9918261,3
118.7692124,35.77904003,4
119.2155804,35.7556971,44
119.2163458,35.74590734,39
118.9996978,35.80907805,16
119.2749927,35.61298018,12
119.4610803,35.68345171,3
119.3319313,35.86638699,7
119.4246591,35.73670114,2
119.1056767,35.91554883,2
119.1292477,35.78829172,3
111.9018348,22.4752086,2
