JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,1
116.7670156,30.60366922,1
119.268782,35.29195705,1
118.9893251,35.40548657,2
119.2860155,35.13672208,1
106.7371863,30.28648256,1
119.339158,35.17647178,1
119.1934703,35.17300822,1
119.3599022,35.10417597,2
119.4686243,35.431049,1
119.4586262,35.43829808,1
119.3866344,35.28446157,1
119.5301142,35.46771125,1
118.6240406,33.84566739,2
119.2738349,35.51464975,1
115.6115866,38.62736949,1
118.8435382,35.58587212,1
118.9799089,35.92304007,1
119.2155804,35.7556971,2
118.9996978,35.80907805,1
119.2749927,35.61298018,1
119.4246591,35.73670114,1
119.1461076,35.65612567,1
