JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,1
119.268782,35.29195705,2
119.2860155,35.13672208,2
119.339158,35.17647178,1
119.1934703,35.17300822,1
105.9712604,35.34351848,2
119.3599022,35.10417597,1
119.4686243,35.431049,3
119.5540672,35.3961023,4
119.3866344,35.28446157,3
112.1380499,29.10446695,3
119.5301142,35.46771125,1
118.6240406,33.84566739,1
119.2738349,35.51464975,3
117.2007828,34.24453607,1
118.7800798,35.59681379,1
120.3880917,36.30814232,2
118.895378,35.87753653,2
112.9563338,34.92070114,1
118.8435382,35.58587212,2
118.9067767,35.58440415,1
117.1689372,28.2246819,1
118.9460049,35.65733871,1
119.2155804,35.7556971,9
119.2163458,35.74590734,2
118.9996978,35.80907805,2
119.2749927,35.61298018,1
119.4246591,35.73670114,1
111.9018348,22.4752086,1
