JD,WD,value
116.7670156,30.60366922,1
119.268782,35.29195705,1
118.9893251,35.40548657,1
119.1934703,35.17300822,1
105.9712604,35.34351848,1
119.4686243,35.431049,2
119.4586262,35.43829808,3
119.5540672,35.3961023,3
119.3866344,35.28446157,5
119.5301142,35.46771125,1
119.3012309,35.39150145,1
118.6240406,33.84566739,2
119.2738349,35.51464975,3
117.2007828,34.24453607,5
106.9507598,27.70800021,5
115.6115866,38.62736949,10
118.7800798,35.59681379,1
116.2005516,37.43284291,13
120.3880917,36.30814232,13
118.895378,35.87753653,3
115.6151801,38.90127817,2
106.3741305,31.87138456,20
118.8150764,35.8120243,7
108.4963313,30.77400589,7
112.9563338,34.92070114,39
118.8435382,35.58587212,109
118.8011232,35.52220152,22
113.8643611,36.13099864,18
118.9067767,35.58440415,3
117.1689372,28.2246819,16
118.931584,35.46998243,23
115.4590891,38.53731644,15
118.9460049,35.65733871,9
118.9799089,35.92304007,16
118.7692124,35.77904003,8
119.2155804,35.7556971,26
119.2163458,35.74590734,76
118.9996978,35.80907805,3
119.2749927,35.61298018,14
119.3319313,35.86638699,8
119.1461076,35.65612567,6
119.1056767,35.91554883,1
