JD,WD,value
119.5734467,35.57720323,2
118.9893251,35.40548657,1
119.2860155,35.13672208,3
106.7371863,30.28648256,1
119.3599022,35.10417597,1
105.9712604,35.34351848,1
119.4686243,35.431049,1
119.4586262,35.43829808,5
119.5540672,35.3961023,2
119.5301142,35.46771125,3
119.3012309,35.39150145,2
119.5170405,35.53091754,3
118.6240406,33.84566739,1
117.2007828,34.24453607,2
106.9507598,27.70800021,1
115.6115866,38.62736949,2
116.2005516,37.43284291,1
120.3880917,36.30814232,4
118.895378,35.87753653,1
115.6151801,38.90127817,1
106.3741305,31.87138456,1
118.8150764,35.8120243,1
108.4963313,30.77400589,1
112.9563338,34.92070114,2
118.8011232,35.52220152,1
113.8643611,36.13099864,1
118.9067767,35.58440415,1
117.1689372,28.2246819,1
118.931584,35.46998243,1
115.4590891,38.53731644,1
118.9721459,35.9918261,1
119.2155804,35.7556971,1
119.2163458,35.74590734,9
118.9996978,35.80907805,1
119.3319313,35.86638699,3
