JD,WD,value
116.2979565,35.41008808,470
116.5273454,30.66495721,14
119.5734467,35.57720323,553
116.7670156,30.60366922,683
119.268782,35.29195705,1046
118.9893251,35.40548657,1152
119.2860155,35.13672208,623
106.7371863,30.28648256,671
119.339158,35.17647178,756
119.1934703,35.17300822,619
119.3599022,35.10417597,927
105.9712604,35.34351848,1052
119.4686243,35.431049,1648
119.4586262,35.43829808,1477
119.5540672,35.3961023,512
119.3866344,35.28446157,901
112.1380499,29.10446695,414
119.5301142,35.46771125,712
119.3012309,35.39150145,878
119.5170405,35.53091754,315
118.6240406,33.84566739,987
119.2738349,35.51464975,387
117.2007828,34.24453607,755
106.9507598,27.70800021,1229
114.996337,35.80496388,1
115.6115866,38.62736949,789
118.7800798,35.59681379,883
116.2005516,37.43284291,1063
120.3880917,36.30814232,1527
118.895378,35.87753653,853
115.6151801,38.90127817,1691
106.3741305,31.87138456,614
118.8150764,35.8120243,415
108.4963313,30.77400589,620
112.9563338,34.92070114,1490
118.8435382,35.58587212,6571
118.8011232,35.52220152,1144
113.8643611,36.13099864,814
118.9067767,35.58440415,857
117.1689372,28.2246819,553
118.931584,35.46998243,542
115.4590891,38.53731644,814
118.9460049,35.65733871,907
118.9721459,35.9918261,526
118.9799089,35.92304007,312
118.7692124,35.77904003,353
119.2155804,35.7556971,3818
119.2163458,35.74590734,1708
118.9996978,35.80907805,1036
119.2749927,35.61298018,1127
119.4610803,35.68345171,272
119.3319313,35.86638699,788
119.4246591,35.73670114,167
119.3964308,35.50585644,69
119.1461076,35.65612567,202
119.1056767,35.91554883,360
119.1292477,35.78829172,330
111.9018348,22.4752086,402
