JD,WD,value
119.5734467,35.57720323,1
116.7670156,30.60366922,2
119.268782,35.29195705,2
119.3599022,35.10417597,3
105.9712604,35.34351848,3
119.4686243,35.431049,1
119.4586262,35.43829808,6
119.5540672,35.3961023,1
119.3866344,35.28446157,2
119.5301142,35.46771125,1
119.3012309,35.39150145,1
118.6240406,33.84566739,4
106.9507598,27.70800021,4
115.6151801,38.90127817,1
118.9460049,35.65733871,1
119.2155804,35.7556971,3
119.2163458,35.74590734,4
118.9996978,35.80907805,1
119.2749927,35.61298018,2
119.4246591,35.73670114,1
119.1056767,35.91554883,1
119.1292477,35.78829172,1
111.9018348,22.4752086,1
