JD,WD,value
119.1934703,35.17300822,2
119.3599022,35.10417597,2
119.4686243,35.431049,1
119.4586262,35.43829808,1
119.5301142,35.46771125,1
118.6240406,33.84566739,1
106.9507598,27.70800021,1
118.7800798,35.59681379,12
120.3880917,36.30814232,8
115.6151801,38.90127817,22
118.8435382,35.58587212,17
118.8011232,35.52220152,8
113.8643611,36.13099864,8
118.9067767,35.58440415,8
118.9721459,35.9918261,1
118.7692124,35.77904003,8
119.2155804,35.7556971,12
119.2163458,35.74590734,70
118.9996978,35.80907805,18
119.2749927,35.61298018,1
119.4610803,35.68345171,9
119.3319313,35.86638699,6
119.1461076,35.65612567,1
119.1056767,35.91554883,44
119.1292477,35.78829172,28
