JD,WD,value
116.2979565,35.41008808,4
116.7670156,30.60366922,3
119.268782,35.29195705,6
118.9893251,35.40548657,1
119.2860155,35.13672208,2
119.339158,35.17647178,5
119.1934703,35.17300822,3
119.3599022,35.10417597,3
105.9712604,35.34351848,3
119.4686243,35.431049,10
119.4586262,35.43829808,13
119.5540672,35.3961023,3
119.3866344,35.28446157,7
112.1380499,29.10446695,1
119.5301142,35.46771125,3
119.3012309,35.39150145,8
118.6240406,33.84566739,5
119.2738349,35.51464975,5
117.2007828,34.24453607,4
106.9507598,27.70800021,3
115.6115866,38.62736949,1
118.7800798,35.59681379,7
116.2005516,37.43284291,4
120.3880917,36.30814232,8
118.895378,35.87753653,5
115.6151801,38.90127817,12
106.3741305,31.87138456,5
108.4963313,30.77400589,5
112.9563338,34.92070114,5
118.8435382,35.58587212,39
118.8011232,35.52220152,6
113.8643611,36.13099864,4
118.9067767,35.58440415,2
117.1689372,28.2246819,4
118.931584,35.46998243,1
115.4590891,38.53731644,2
118.9460049,35.65733871,8
118.9721459,35.9918261,3
118.9799089,35.92304007,3
118.7692124,35.77904003,4
119.2155804,35.7556971,14
119.2163458,35.74590734,17
118.9996978,35.80907805,3
119.3319313,35.86638699,2
119.1461076,35.65612567,1
119.1056767,35.91554883,2
119.1292477,35.78829172,1
