JD,WD,value
116.2979565,35.41008808,2
116.7670156,30.60366922,3
118.9893251,35.40548657,2
119.3599022,35.10417597,1
105.9712604,35.34351848,3
119.4686243,35.431049,1
119.4586262,35.43829808,3
119.5540672,35.3961023,3
119.3866344,35.28446157,2
119.5301142,35.46771125,3
119.3012309,35.39150145,1
119.5170405,35.53091754,1
118.6240406,33.84566739,1
117.2007828,34.24453607,2
106.9507598,27.70800021,14
115.6115866,38.62736949,5
118.8150764,35.8120243,2
112.9563338,34.92070114,1
118.8435382,35.58587212,3
118.9067767,35.58440415,1
115.4590891,38.53731644,1
118.9460049,35.65733871,2
118.9721459,35.9918261,1
119.2155804,35.7556971,1
119.2163458,35.74590734,3
118.9996978,35.80907805,4
119.2749927,35.61298018,1
111.9018348,22.4752086,6
