JD,WD,value
116.2979565,35.41008808,8
119.5734467,35.57720323,11
116.7670156,30.60366922,12
119.268782,35.29195705,22
118.9893251,35.40548657,9
119.2860155,35.13672208,1
106.7371863,30.28648256,12
119.339158,35.17647178,17
119.1934703,35.17300822,8
119.3599022,35.10417597,14
105.9712604,35.34351848,32
119.4686243,35.431049,2
119.4586262,35.43829808,45
119.5540672,35.3961023,20
119.3866344,35.28446157,19
112.1380499,29.10446695,13
119.5301142,35.46771125,26
119.3012309,35.39150145,25
119.5170405,35.53091754,12
118.6240406,33.84566739,15
119.2738349,35.51464975,12
117.2007828,34.24453607,24
106.9507598,27.70800021,22
115.6115866,38.62736949,2
118.7800798,35.59681379,1
116.2005516,37.43284291,2
120.3880917,36.30814232,5
118.895378,35.87753653,2
115.6151801,38.90127817,2
106.3741305,31.87138456,3
118.8150764,35.8120243,3
108.4963313,30.77400589,1
112.9563338,34.92070114,3
118.8011232,35.52220152,1
113.8643611,36.13099864,4
118.9067767,35.58440415,6
117.1689372,28.2246819,3
118.931584,35.46998243,3
115.4590891,38.53731644,3
118.9460049,35.65733871,4
118.9799089,35.92304007,1
118.7692124,35.77904003,2
119.2163458,35.74590734,13
118.9996978,35.80907805,17
119.2749927,35.61298018,12
119.4610803,35.68345171,5
119.4246591,35.73670114,3
119.3964308,35.50585644,2
119.1461076,35.65612567,1
119.1056767,35.91554883,1
119.1292477,35.78829172,3
111.9018348,22.4752086,1
