JD,WD,value
116.2979565,35.41008808,4
116.7670156,30.60366922,2
119.268782,35.29195705,1
118.9893251,35.40548657,2
119.2860155,35.13672208,1
119.339158,35.17647178,2
119.3599022,35.10417597,1
119.3866344,35.28446157,1
112.1380499,29.10446695,1
119.3012309,35.39150145,1
119.2738349,35.51464975,1
117.2007828,34.24453607,3
106.3741305,31.87138456,1
112.9563338,34.92070114,1
118.8435382,35.58587212,1
113.8643611,36.13099864,1
115.4590891,38.53731644,1
118.9460049,35.65733871,1
119.2163458,35.74590734,2
119.1461076,35.65612567,1
119.1292477,35.78829172,1
