JD,WD,value
119.339158,35.17647178,1
119.4586262,35.43829808,5
119.5301142,35.46771125,1
119.3012309,35.39150145,1
118.6240406,33.84566739,1
115.6115866,38.62736949,1
118.7800798,35.59681379,8
116.2005516,37.43284291,6
120.3880917,36.30814232,37
115.6151801,38.90127817,3
106.3741305,31.87138456,2
112.9563338,34.92070114,1
118.8435382,35.58587212,5
118.8011232,35.52220152,4
113.8643611,36.13099864,1
118.9067767,35.58440415,1
118.931584,35.46998243,3
115.4590891,38.53731644,5
118.9460049,35.65733871,3
118.9721459,35.9918261,1
