JD,WD,value
116.2979565,35.41008808,7
119.5734467,35.57720323,3
116.7670156,30.60366922,7
119.268782,35.29195705,7
118.9893251,35.40548657,8
119.2860155,35.13672208,6
106.7371863,30.28648256,5
119.339158,35.17647178,7
119.1934703,35.17300822,1
119.3599022,35.10417597,15
119.4686243,35.431049,44
119.4586262,35.43829808,14
119.5540672,35.3961023,2
119.3866344,35.28446157,7
112.1380499,29.10446695,2
119.5301142,35.46771125,1
119.3012309,35.39150145,6
119.5170405,35.53091754,2
118.6240406,33.84566739,4
119.2738349,35.51464975,1
117.2007828,34.24453607,5
106.9507598,27.70800021,8
115.6115866,38.62736949,5
118.7800798,35.59681379,3
116.2005516,37.43284291,3
120.3880917,36.30814232,1
118.895378,35.87753653,6
115.6151801,38.90127817,7
106.3741305,31.87138456,3
112.9563338,34.92070114,1
118.8435382,35.58587212,25
118.8011232,35.52220152,3
113.8643611,36.13099864,1
118.9067767,35.58440415,1
117.1689372,28.2246819,1
118.931584,35.46998243,3
115.4590891,38.53731644,1
118.9460049,35.65733871,1
118.7692124,35.77904003,2
119.2155804,35.7556971,18
119.2163458,35.74590734,6
118.9996978,35.80907805,4
119.3319313,35.86638699,1
119.1461076,35.65612567,2
119.1056767,35.91554883,1
119.1292477,35.78829172,1
