JD,WD,value
119.268782,35.29195705,1
118.9893251,35.40548657,1
106.7371863,30.28648256,1
119.339158,35.17647178,4
119.3599022,35.10417597,1
119.4686243,35.431049,1
119.4586262,35.43829808,2
118.6240406,33.84566739,2
119.2738349,35.51464975,2
106.9507598,27.70800021,1
115.6115866,38.62736949,4
118.7800798,35.59681379,5
116.2005516,37.43284291,4
120.3880917,36.30814232,8
118.895378,35.87753653,9
115.6151801,38.90127817,9
106.3741305,31.87138456,1
118.8150764,35.8120243,1
112.9563338,34.92070114,9
118.8435382,35.58587212,19
118.8011232,35.52220152,11
113.8643611,36.13099864,6
118.9067767,35.58440415,6
117.1689372,28.2246819,3
118.931584,35.46998243,4
115.4590891,38.53731644,2
118.9460049,35.65733871,4
118.9721459,35.9918261,1
118.9799089,35.92304007,1
118.7692124,35.77904003,4
119.2155804,35.7556971,28
119.2163458,35.74590734,43
118.9996978,35.80907805,28
119.2749927,35.61298018,9
119.4610803,35.68345171,5
119.3319313,35.86638699,42
119.4246591,35.73670114,5
119.1461076,35.65612567,4
119.1056767,35.91554883,14
119.1292477,35.78829172,9
111.9018348,22.4752086,5
