JD,WD,value
116.2979565,35.41008808,2
119.268782,35.29195705,6
119.339158,35.17647178,10
119.1934703,35.17300822,4
119.3599022,35.10417597,2
105.9712604,35.34351848,2
119.4586262,35.43829808,17
119.5540672,35.3961023,1
119.3866344,35.28446157,16
119.5301142,35.46771125,4
119.3012309,35.39150145,3
119.5170405,35.53091754,7
118.6240406,33.84566739,4
119.2738349,35.51464975,2
117.2007828,34.24453607,1
106.9507598,27.70800021,6
115.6115866,38.62736949,1
118.7800798,35.59681379,6
116.2005516,37.43284291,7
120.3880917,36.30814232,5
118.895378,35.87753653,5
115.6151801,38.90127817,2
108.4963313,30.77400589,1
112.9563338,34.92070114,8
118.8435382,35.58587212,1
118.8011232,35.52220152,2
113.8643611,36.13099864,1
118.9067767,35.58440415,1
117.1689372,28.2246819,1
118.931584,35.46998243,1
115.4590891,38.53731644,1
118.9460049,35.65733871,1
119.2749927,35.61298018,5
119.4246591,35.73670114,5
119.1461076,35.65612567,2
119.1292477,35.78829172,2
