JD,WD,value
116.2979565,35.41008808,4
119.5734467,35.57720323,4
116.7670156,30.60366922,4
119.268782,35.29195705,9
118.9893251,35.40548657,3
119.2860155,35.13672208,5
119.339158,35.17647178,3
119.1934703,35.17300822,6
105.9712604,35.34351848,2
119.4586262,35.43829808,9
119.5540672,35.3961023,5
119.3866344,35.28446157,7
119.3012309,35.39150145,6
119.5170405,35.53091754,1
118.6240406,33.84566739,6
119.2738349,35.51464975,1
117.2007828,34.24453607,2
106.9507598,27.70800021,2
115.6115866,38.62736949,3
118.7800798,35.59681379,3
116.2005516,37.43284291,2
120.3880917,36.30814232,1
106.3741305,31.87138456,1
108.4963313,30.77400589,1
112.9563338,34.92070114,3
118.8435382,35.58587212,21
118.8011232,35.52220152,6
118.931584,35.46998243,1
115.4590891,38.53731644,1
118.9460049,35.65733871,3
118.9721459,35.9918261,1
118.7692124,35.77904003,2
119.2155804,35.7556971,2
119.2163458,35.74590734,6
119.2749927,35.61298018,1
119.3319313,35.86638699,1
