JD,WD,value
119.268782,35.29195705,4
118.9893251,35.40548657,1
119.2860155,35.13672208,1
119.339158,35.17647178,3
119.1934703,35.17300822,2
119.4586262,35.43829808,3
119.5540672,35.3961023,1
119.3866344,35.28446157,1
119.5301142,35.46771125,1
119.3012309,35.39150145,1
119.2738349,35.51464975,1
115.6115866,38.62736949,1
116.2005516,37.43284291,1
118.895378,35.87753653,1
118.9067767,35.58440415,1
115.4590891,38.53731644,1
119.2155804,35.7556971,2
119.2163458,35.74590734,1
119.3319313,35.86638699,1
