JD,WD,value
119.5734467,35.57720323,1
116.7670156,30.60366922,1
106.7371863,30.28648256,1
119.339158,35.17647178,1
105.9712604,35.34351848,1
119.4686243,35.431049,1
119.4586262,35.43829808,1
119.3866344,35.28446157,3
118.6240406,33.84566739,1
119.2738349,35.51464975,1
117.2007828,34.24453607,1
106.9507598,27.70800021,5
115.6115866,38.62736949,2
120.3880917,36.30814232,1
118.895378,35.87753653,1
118.8150764,35.8120243,7
118.8435382,35.58587212,8
118.8011232,35.52220152,5
113.8643611,36.13099864,1
118.9067767,35.58440415,1
118.931584,35.46998243,2
118.9460049,35.65733871,10
119.2155804,35.7556971,2
119.2163458,35.74590734,4
119.3964308,35.50585644,1
119.1056767,35.91554883,2
