JD,WD,value
119.268782,35.29195705,1
118.9893251,35.40548657,1
119.339158,35.17647178,1
119.1934703,35.17300822,2
119.3599022,35.10417597,1
105.9712604,35.34351848,2
119.4686243,35.431049,1
119.4586262,35.43829808,2
119.3866344,35.28446157,1
112.1380499,29.10446695,1
119.3012309,35.39150145,1
118.6240406,33.84566739,1
117.2007828,34.24453607,1
116.2005516,37.43284291,3
120.3880917,36.30814232,6
118.895378,35.87753653,2
115.6151801,38.90127817,2
118.8435382,35.58587212,6
118.8011232,35.52220152,4
115.4590891,38.53731644,3
118.9460049,35.65733871,2
119.2163458,35.74590734,3
118.9996978,35.80907805,2
119.2749927,35.61298018,1
