JD,WD,value
119.5734467,35.57720323,3
116.7670156,30.60366922,1
118.9893251,35.40548657,4
119.2860155,35.13672208,1
119.339158,35.17647178,1
119.3599022,35.10417597,4
105.9712604,35.34351848,1
119.4686243,35.431049,3
119.4586262,35.43829808,5
119.5540672,35.3961023,2
119.3866344,35.28446157,3
112.1380499,29.10446695,4
119.5301142,35.46771125,2
119.3012309,35.39150145,1
119.5170405,35.53091754,2
118.6240406,33.84566739,5
119.2738349,35.51464975,2
117.2007828,34.24453607,3
106.9507598,27.70800021,3
120.3880917,36.30814232,9
118.895378,35.87753653,2
118.8150764,35.8120243,1
118.8435382,35.58587212,6
119.2155804,35.7556971,13
119.2163458,35.74590734,8
118.9996978,35.80907805,2
119.2749927,35.61298018,2
119.4610803,35.68345171,3
119.3319313,35.86638699,1
119.4246591,35.73670114,1
119.3964308,35.50585644,1
119.1461076,35.65612567,1
119.1056767,35.91554883,1
