JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,1
116.7670156,30.60366922,1
119.268782,35.29195705,2
118.9893251,35.40548657,5
106.7371863,30.28648256,2
119.3599022,35.10417597,1
119.4686243,35.431049,23
119.4586262,35.43829808,5
119.3866344,35.28446157,1
119.5301142,35.46771125,1
119.3012309,35.39150145,1
119.2738349,35.51464975,1
117.2007828,34.24453607,2
106.9507598,27.70800021,2
115.6115866,38.62736949,1
118.7800798,35.59681379,5
116.2005516,37.43284291,1
120.3880917,36.30814232,5
118.895378,35.87753653,3
115.6151801,38.90127817,2
118.8150764,35.8120243,1
108.4963313,30.77400589,2
112.9563338,34.92070114,4
118.8435382,35.58587212,24
118.8011232,35.52220152,9
113.8643611,36.13099864,3
118.9067767,35.58440415,2
117.1689372,28.2246819,1
118.9460049,35.65733871,2
118.7692124,35.77904003,3
119.2155804,35.7556971,9
119.2163458,35.74590734,1
119.4610803,35.68345171,1
119.1292477,35.78829172,1
