JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,1
119.268782,35.29195705,3
118.9893251,35.40548657,4
119.2860155,35.13672208,6
106.7371863,30.28648256,1
119.339158,35.17647178,1
119.1934703,35.17300822,3
119.3599022,35.10417597,2
105.9712604,35.34351848,4
119.4686243,35.431049,3
119.4586262,35.43829808,6
119.5540672,35.3961023,4
119.3866344,35.28446157,3
112.1380499,29.10446695,4
119.5301142,35.46771125,1
119.3012309,35.39150145,3
119.2738349,35.51464975,1
106.9507598,27.70800021,12
115.6115866,38.62736949,11
118.7800798,35.59681379,9
116.2005516,37.43284291,1
120.3880917,36.30814232,10
118.895378,35.87753653,2
115.6151801,38.90127817,7
106.3741305,31.87138456,2
118.8150764,35.8120243,3
112.9563338,34.92070114,1
118.8435382,35.58587212,23
118.8011232,35.52220152,5
113.8643611,36.13099864,4
118.9067767,35.58440415,2
117.1689372,28.2246819,4
118.931584,35.46998243,1
115.4590891,38.53731644,2
118.9460049,35.65733871,4
119.2155804,35.7556971,9
119.2163458,35.74590734,12
118.9996978,35.80907805,5
119.2749927,35.61298018,4
119.4610803,35.68345171,1
119.3319313,35.86638699,7
119.4246591,35.73670114,1
119.1461076,35.65612567,2
119.1292477,35.78829172,1
111.9018348,22.4752086,2
