JD,WD,value
116.2979565,35.41008808,1
118.9893251,35.40548657,1
119.2860155,35.13672208,1
119.4686243,35.431049,1
115.6115866,38.62736949,1
120.3880917,36.30814232,1
118.895378,35.87753653,1
118.8435382,35.58587212,7
118.9067767,35.58440415,1
117.1689372,28.2246819,1
118.9460049,35.65733871,1
118.9799089,35.92304007,1
119.2155804,35.7556971,15
119.2163458,35.74590734,16
118.9996978,35.80907805,10
119.2749927,35.61298018,9
119.3319313,35.86638699,8
119.4246591,35.73670114,1
119.1461076,35.65612567,1
119.1056767,35.91554883,4
119.1292477,35.78829172,12
111.9018348,22.4752086,2
