JD,WD,value
116.2979565,35.41008808,177
116.5273454,30.66495721,9
119.5734467,35.57720323,185
116.7670156,30.60366922,168
119.268782,35.29195705,273
118.9893251,35.40548657,256
119.2860155,35.13672208,85
106.7371863,30.28648256,95
119.339158,35.17647178,136
119.1934703,35.17300822,112
119.3599022,35.10417597,253
105.9712604,35.34351848,244
119.4686243,35.431049,251
119.4586262,35.43829808,275
119.5540672,35.3961023,281
119.3866344,35.28446157,88
112.1380499,29.10446695,125
119.5301142,35.46771125,280
119.3012309,35.39150145,237
119.5170405,35.53091754,117
118.6240406,33.84566739,87
119.2738349,35.51464975,100
117.2007828,34.24453607,81
106.9507598,27.70800021,353
115.6115866,38.62736949,101
118.7800798,35.59681379,81
116.2005516,37.43284291,215
120.3880917,36.30814232,373
118.895378,35.87753653,105
115.6151801,38.90127817,135
106.3741305,31.87138456,65
118.8150764,35.8120243,52
108.4963313,30.77400589,78
112.9563338,34.92070114,188
118.8435382,35.58587212,373
118.8011232,35.52220152,168
113.8643611,36.13099864,133
118.9067767,35.58440415,103
117.1689372,28.2246819,59
118.931584,35.46998243,73
115.4590891,38.53731644,85
118.9460049,35.65733871,67
118.9721459,35.9918261,123
118.9799089,35.92304007,50
118.7692124,35.77904003,85
119.2155804,35.7556971,583
119.2163458,35.74590734,469
118.9996978,35.80907805,205
119.2749927,35.61298018,188
119.4610803,35.68345171,73
119.3319313,35.86638699,229
119.4246591,35.73670114,66
119.3964308,35.50585644,4
119.1461076,35.65612567,25
119.1056767,35.91554883,62
119.1292477,35.78829172,90
111.9018348,22.4752086,51
