JD,WD,value
116.2979565,35.41008808,64
119.5734467,35.57720323,75
116.7670156,30.60366922,10
119.268782,35.29195705,185
118.9893251,35.40548657,24
119.2860155,35.13672208,18
106.7371863,30.28648256,110
119.339158,35.17647178,58
119.1934703,35.17300822,71
119.3599022,35.10417597,10
105.9712604,35.34351848,50
119.4686243,35.431049,53
119.4586262,35.43829808,97
119.5540672,35.3961023,95
119.3866344,35.28446157,87
112.1380499,29.10446695,5
119.5301142,35.46771125,94
119.3012309,35.39150145,31
119.5170405,35.53091754,47
118.6240406,33.84566739,19
119.2738349,35.51464975,4
117.2007828,34.24453607,233
106.9507598,27.70800021,83
115.6115866,38.62736949,76
118.7800798,35.59681379,93
116.2005516,37.43284291,303
120.3880917,36.30814232,675
118.895378,35.87753653,171
115.6151801,38.90127817,73
106.3741305,31.87138456,156
118.8150764,35.8120243,38
108.4963313,30.77400589,320
112.9563338,34.92070114,75
118.8435382,35.58587212,329
118.8011232,35.52220152,9
113.8643611,36.13099864,222
118.9067767,35.58440415,387
117.1689372,28.2246819,103
118.931584,35.46998243,151
115.4590891,38.53731644,161
118.9460049,35.65733871,75
118.9721459,35.9918261,337
118.9799089,35.92304007,73
118.7692124,35.77904003,96
119.2155804,35.7556971,389
119.2163458,35.74590734,974
118.9996978,35.80907805,364
119.2749927,35.61298018,191
119.4610803,35.68345171,154
119.3319313,35.86638699,419
119.4246591,35.73670114,85
119.3964308,35.50585644,31
119.1461076,35.65612567,24
119.1056767,35.91554883,194
119.1292477,35.78829172,178
111.9018348,22.4752086,118
