JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,1
119.268782,35.29195705,1
105.9712604,35.34351848,1
119.4586262,35.43829808,2
112.1380499,29.10446695,1
119.5301142,35.46771125,1
119.3012309,35.39150145,1
119.5170405,35.53091754,2
115.6151801,38.90127817,2
118.8150764,35.8120243,1
118.8435382,35.58587212,1
118.8011232,35.52220152,1
118.9067767,35.58440415,1
118.931584,35.46998243,2
118.9799089,35.92304007,1
119.2155804,35.7556971,1
119.2163458,35.74590734,1
118.9996978,35.80907805,1
119.2749927,35.61298018,1
111.9018348,22.4752086,1
