JD,WD,value
119.268782,35.29195705,3
118.9893251,35.40548657,1
119.2860155,35.13672208,4
119.339158,35.17647178,2
119.3599022,35.10417597,1
105.9712604,35.34351848,1
119.4686243,35.431049,2
119.5540672,35.3961023,2
119.3866344,35.28446157,1
118.6240406,33.84566739,2
106.9507598,27.70800021,2
115.6115866,38.62736949,1
118.7800798,35.59681379,1
116.2005516,37.43284291,1
118.895378,35.87753653,1
115.6151801,38.90127817,2
118.8150764,35.8120243,1
108.4963313,30.77400589,1
112.9563338,34.92070114,1
118.8435382,35.58587212,6
117.1689372,28.2246819,1
118.9721459,35.9918261,1
118.7692124,35.77904003,1
119.2155804,35.7556971,3
119.2163458,35.74590734,4
118.9996978,35.80907805,1
119.2749927,35.61298018,1
119.1292477,35.78829172,1
