JD,WD,value
119.5734467,35.57720323,1
116.7670156,30.60366922,3
118.9893251,35.40548657,1
106.7371863,30.28648256,1
119.339158,35.17647178,2
112.1380499,29.10446695,2
119.5301142,35.46771125,1
119.3012309,35.39150145,1
118.6240406,33.84566739,3
117.2007828,34.24453607,1
106.9507598,27.70800021,1
115.6115866,38.62736949,2
118.7800798,35.59681379,1
120.3880917,36.30814232,1
115.6151801,38.90127817,1
108.4963313,30.77400589,1
112.9563338,34.92070114,1
118.8435382,35.58587212,1
118.8011232,35.52220152,2
113.8643611,36.13099864,1
118.7692124,35.77904003,1
119.2155804,35.7556971,2
118.9996978,35.80907805,1
119.2749927,35.61298018,1
119.1292477,35.78829172,1
