JD,WD,value
119.268782,35.29195705,1
106.7371863,30.28648256,1
119.5540672,35.3961023,1
119.3866344,35.28446157,1
116.2005516,37.43284291,1
120.3880917,36.30814232,8
106.3741305,31.87138456,2
108.4963313,30.77400589,1
112.9563338,34.92070114,5
118.8435382,35.58587212,15
118.8011232,35.52220152,4
113.8643611,36.13099864,13
118.9067767,35.58440415,1
115.4590891,38.53731644,4
118.9721459,35.9918261,7
118.7692124,35.77904003,4
119.2155804,35.7556971,7
119.2163458,35.74590734,36
119.3319313,35.86638699,1
119.4246591,35.73670114,3
111.9018348,22.4752086,1
