JD,WD,value
116.2979565,35.41008808,3
119.5734467,35.57720323,2
116.7670156,30.60366922,4
119.268782,35.29195705,1
118.9893251,35.40548657,3
106.7371863,30.28648256,1
105.9712604,35.34351848,3
119.3599022,35.10417597,1
119.4586262,35.43829808,4
119.3866344,35.28446157,1
119.5301142,35.46771125,2
119.3012309,35.39150145,2
119.2738349,35.51464975,1
106.9507598,27.70800021,1
115.6115866,38.62736949,1
118.7800798,35.59681379,3
116.2005516,37.43284291,4
120.3880917,36.30814232,5
115.6151801,38.90127817,4
106.3741305,31.87138456,1
118.8150764,35.8120243,1
108.4963313,30.77400589,2
112.9563338,34.92070114,1
118.8435382,35.58587212,3
118.8011232,35.52220152,2
113.8643611,36.13099864,4
118.9067767,35.58440415,3
115.4590891,38.53731644,1
118.9460049,35.65733871,2
118.9721459,35.9918261,1
119.2155804,35.7556971,4
119.2163458,35.74590734,5
118.9996978,35.80907805,1
119.2749927,35.61298018,3
119.3319313,35.86638699,1
