JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,12
116.7670156,30.60366922,3
119.268782,35.29195705,3
106.7371863,30.28648256,1
119.339158,35.17647178,2
119.1934703,35.17300822,3
119.3599022,35.10417597,2
105.9712604,35.34351848,1
119.4686243,35.431049,3
119.4586262,35.43829808,4
119.5540672,35.3961023,1
119.3866344,35.28446157,4
119.5301142,35.46771125,7
119.3012309,35.39150145,4
118.6240406,33.84566739,7
117.2007828,34.24453607,7
106.9507598,27.70800021,1
118.8435382,35.58587212,1
119.2163458,35.74590734,2
118.9996978,35.80907805,3
