JD,WD,value
106.7371863,30.28648256,1
119.1934703,35.17300822,1
105.9712604,35.34351848,8
119.3599022,35.10417597,3
119.4686243,35.431049,4
119.4586262,35.43829808,10
119.5540672,35.3961023,3
119.3866344,35.28446157,8
112.1380499,29.10446695,4
119.5301142,35.46771125,2
119.3012309,35.39150145,6
119.5170405,35.53091754,5
118.6240406,33.84566739,6
119.2738349,35.51464975,4
117.2007828,34.24453607,1
106.9507598,27.70800021,1
116.2005516,37.43284291,1
120.3880917,36.30814232,4
118.895378,35.87753653,1
115.6151801,38.90127817,3
112.9563338,34.92070114,3
118.8011232,35.52220152,5
117.1689372,28.2246819,1
118.931584,35.46998243,1
118.9721459,35.9918261,2
