JD,WD,value
119.268782,35.29195705,2
118.9893251,35.40548657,4
119.2860155,35.13672208,2
119.339158,35.17647178,1
119.1934703,35.17300822,2
119.3599022,35.10417597,2
119.4686243,35.431049,1
119.4586262,35.43829808,2
119.5540672,35.3961023,1
119.3012309,35.39150145,1
118.6240406,33.84566739,2
117.2007828,34.24453607,2
118.7800798,35.59681379,1
116.2005516,37.43284291,1
120.3880917,36.30814232,3
118.895378,35.87753653,5
115.6151801,38.90127817,2
106.3741305,31.87138456,1
118.8150764,35.8120243,1
108.4963313,30.77400589,1
112.9563338,34.92070114,2
118.8435382,35.58587212,5
118.9067767,35.58440415,2
117.1689372,28.2246819,1
118.931584,35.46998243,2
115.4590891,38.53731644,2
118.9460049,35.65733871,2
118.9721459,35.9918261,1
118.9799089,35.92304007,1
118.7692124,35.77904003,2
119.2163458,35.74590734,3
118.9996978,35.80907805,1
119.4610803,35.68345171,1
119.3319313,35.86638699,2
119.4246591,35.73670114,1
119.1461076,35.65612567,1
119.1056767,35.91554883,2
111.9018348,22.4752086,1
