JD,WD,value
119.5734467,35.57720323,1
119.268782,35.29195705,1
118.9893251,35.40548657,1
119.3599022,35.10417597,2
119.4586262,35.43829808,2
119.3866344,35.28446157,3
119.5301142,35.46771125,1
119.2738349,35.51464975,1
106.9507598,27.70800021,1
118.895378,35.87753653,1
115.6151801,38.90127817,1
108.4963313,30.77400589,1
118.9067767,35.58440415,2
118.9799089,35.92304007,2
118.7692124,35.77904003,1
119.2163458,35.74590734,3
118.9996978,35.80907805,1
119.2749927,35.61298018,1
119.4246591,35.73670114,1
119.1056767,35.91554883,1
