JD,WD,value
119.5734467,35.57720323,3
116.7670156,30.60366922,2
119.268782,35.29195705,3
118.9893251,35.40548657,1
119.2860155,35.13672208,1
106.7371863,30.28648256,4
119.339158,35.17647178,11
119.3599022,35.10417597,4
105.9712604,35.34351848,2
119.4686243,35.431049,5
119.4586262,35.43829808,7
119.5540672,35.3961023,1
119.3866344,35.28446157,6
112.1380499,29.10446695,3
119.5301142,35.46771125,2
119.3012309,35.39150145,1
119.5170405,35.53091754,1
118.6240406,33.84566739,4
119.2738349,35.51464975,3
117.2007828,34.24453607,1
106.9507598,27.70800021,4
115.6115866,38.62736949,2
120.3880917,36.30814232,2
118.895378,35.87753653,1
115.6151801,38.90127817,4
118.8150764,35.8120243,1
112.9563338,34.92070114,3
118.8011232,35.52220152,3
117.1689372,28.2246819,1
118.931584,35.46998243,1
118.9460049,35.65733871,2
119.2155804,35.7556971,11
119.2163458,35.74590734,1
118.9996978,35.80907805,2
119.2749927,35.61298018,3
119.3319313,35.86638699,2
119.1056767,35.91554883,1
119.1292477,35.78829172,1
