JD,WD,value
116.2979565,35.41008808,3
119.5734467,35.57720323,4
116.7670156,30.60366922,1
119.268782,35.29195705,6
118.9893251,35.40548657,1
119.2860155,35.13672208,1
106.7371863,30.28648256,1
119.339158,35.17647178,4
119.1934703,35.17300822,3
119.3599022,35.10417597,5
105.9712604,35.34351848,2
119.4686243,35.431049,2
119.4586262,35.43829808,6
119.5540672,35.3961023,1
119.3866344,35.28446157,5
112.1380499,29.10446695,2
119.3012309,35.39150145,2
118.6240406,33.84566739,1
119.2738349,35.51464975,1
106.9507598,27.70800021,3
115.6115866,38.62736949,1
116.2005516,37.43284291,1
120.3880917,36.30814232,4
118.895378,35.87753653,4
115.6151801,38.90127817,1
106.3741305,31.87138456,4
108.4963313,30.77400589,5
112.9563338,34.92070114,9
118.8435382,35.58587212,28
118.8011232,35.52220152,3
118.9067767,35.58440415,3
117.1689372,28.2246819,2
115.4590891,38.53731644,3
118.9460049,35.65733871,5
118.9721459,35.9918261,2
118.9799089,35.92304007,1
119.2155804,35.7556971,7
119.2163458,35.74590734,7
118.9996978,35.80907805,2
119.3319313,35.86638699,1
119.1461076,35.65612567,1
119.1056767,35.91554883,1
