JD,WD,value
119.268782,35.29195705,1
119.3599022,35.10417597,1
105.9712604,35.34351848,1
119.5301142,35.46771125,1
119.3012309,35.39150145,1
106.9507598,27.70800021,1
116.2005516,37.43284291,1
120.3880917,36.30814232,4
115.6151801,38.90127817,1
106.3741305,31.87138456,1
112.9563338,34.92070114,1
118.8435382,35.58587212,5
118.8011232,35.52220152,1
118.9067767,35.58440415,1
117.1689372,28.2246819,1
115.4590891,38.53731644,1
118.9460049,35.65733871,1
119.2155804,35.7556971,1
119.2163458,35.74590734,2
