JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,1
106.7371863,30.28648256,1
119.339158,35.17647178,2
119.1934703,35.17300822,1
119.4686243,35.431049,3
119.4586262,35.43829808,1
119.5540672,35.3961023,2
119.5301142,35.46771125,2
119.3012309,35.39150145,3
118.6240406,33.84566739,5
119.2738349,35.51464975,2
106.9507598,27.70800021,1
115.6115866,38.62736949,2
118.7800798,35.59681379,1
116.2005516,37.43284291,3
120.3880917,36.30814232,3
115.6151801,38.90127817,1
106.3741305,31.87138456,2
118.8150764,35.8120243,1
108.4963313,30.77400589,2
112.9563338,34.92070114,1
118.8435382,35.58587212,15
118.8011232,35.52220152,4
113.8643611,36.13099864,11
118.9067767,35.58440415,2
117.1689372,28.2246819,1
118.9460049,35.65733871,4
119.2155804,35.7556971,12
119.2163458,35.74590734,16
118.9996978,35.80907805,1
119.2749927,35.61298018,8
119.4610803,35.68345171,1
119.3319313,35.86638699,5
